"Date_entry","Region","District_ad","Address","Metro","Dist_metro_ad","Rooms","Price","Minimum_duration","No_agents","Building","Area_total","Area_living","Area_kitchen","Floor","NFloor","Lift","Furnished","Bath","Refurbished","Balcony","Latitude","Longitude","Year_construction"
"2014-09-04","Leningradskaya oblast'","Всеволожский","р-н Кудрово дер., Ленинградская ул. 5","Dybenko ul.",1660,"1",20000,"31 mes.","","Panel'nyi",35,20,10,7,"14","Net","","","","Balkon",,,
"2017-03-14","gorod Sankt-Peterburg","Приморский","Мебельная ул., 49","Staraya Derevnya",470,"2",55000,"6 mes.","","Monolit",51,15,19,17,"23","Net","Sbor.+kuh.garn.","","Proizveden","Lodjiya",59.993581,30.193423,
"2017-04-07","gorod Sankt-Peterburg","Петроградский","Лодейнопольская ул., 2","Chkalovskaya",420,"2",35000,"11 mes.","","Kirpichnyi",45,30,6,2,"5","Net","","Dush","Proizveden","Balkon",59.96418,30.2886182,1980
"2015-09-29","gorod Sankt-Peterburg","Центральный","Шпалерная ул. 60","Chernyshevskaya",1170,"3",130000,"","","",100,86,12,5,"9","Net","Sbornaya Sovr.","","","",,,
"2016-02-10","gorod Sankt-Peterburg","Московский","Обводного канала наб. 46","Obvodnyi Kanal",1550,"1",30000,"","","",40,17,14,2,"7","Net","Sbornaya Sovr.","","Evrostandart","",,,
"2017-04-23","gorod Sankt-Peterburg","Невский","Обуховской Обороны пр., 195","Proletarskaya",30,"2",40000,"11 mes.","","Individual'nyi proekt",70,45,,4,"24","Net","","","","",59.869251,30.4578136,
"2016-03-30","gorod Sankt-Peterburg","Василеостровский","Новосмоленская наб. 1","Primorskaya",280,"1",25000,"14 mes.","","Kirpichnyi",40,20,10,4,"16","Est'","Tol'ko kuhnya","Otdel'naya","Proizveden","Balkon",,,
"2015-05-05","gorod Sankt-Peterburg","Калининский","Тимуровская ул. 26к.2","Grajdanskii pr.",1070,"1",18000,"11 mes.","","Korabl'",33,17,6,4,"9","Net","","","","Net",,,
"2016-07-21","gorod Sankt-Peterburg","Московский","Орджоникидзе ул., 26","Moskovskaya",90,"1",24000,"1 mes.","","Monolit",38,,,3,"5","Net","","","","",59.844811,30.331756,
"2016-11-29","gorod Sankt-Peterburg","Невский","Тельмана ул., 48к4","Dybenko ul.",1400,"1",18000,"11 mes.","","121(Gatchinskaya)",41,41,9,7,"10","Est'","Sbor.+kuh.garn.","Otdel'naya","Proizveden","Zasteklennaya lodjiya",59.894892,30.484367,1997
"2017-04-28","gorod Sankt-Peterburg","Невский","Ворошилова ул., 31к1","Bol'shevikov pr.",1420,"2",28000,"11 mes.","","Kirpichnyi",57,35,14,13,"19","Est'","","Dush","Evrostandart","Lodjiya",59.932612,30.463403,2012
"2017-04-03","gorod Sankt-Peterburg","Пушкинский","р-н Детскосельский Колпинское ш., 10к5","Kupchino",12010,"1",17000,"11 mes.","","Kirpichnyi",36,17,9,3,"6","Net","Garnit+kuh.nab.","Sovmeshchennaya","Evrostandart","Lodjiya",,,
"2016-09-01","gorod Sankt-Peterburg","Петроградский","Аптекарский пр., 18","Petrogradskaya",50,"3",67000,"","","Kirp.Monolit",72,46,6,4,"10","Est'","","","Proizveden","Lodjiya",59.970846,30.3192712,
"2017-02-17","gorod Sankt-Peterburg","Невский","Обуховской Обороны пр., 195","Proletarskaya",30,"1",30000,"","","Monolit",47,20,12,7,"23","Net","Sbor.+kuh.garn.","","Evrostandart","3 lodjii",59.869251,30.4578136,
"2017-05-04","gorod Sankt-Peterburg","Московский","Пулковская ул., 6","Zvezdnaya",670,"1   (studiya)",19000,"11 mes.","Da","Kirpichnyi",27,27,,7,"23","Est'","Sbornaya Sovr.","Sovmeshchennaya","Proizveden","Lodjiya",59.83928,30.349819,
"2016-11-01","gorod Sankt-Peterburg","Приморский","3-я Линия 1-й половины, 33","Udel'naya",940,"4",2e+05,"11 mes.","","Monolit",250,130,18,5,"5","Est'","","","","",60.016213,30.298845,
"2016-08-01","gorod Sankt-Peterburg","Петроградский","Аптекарский пр.","Petrogradskaya",50,"2",86000,"","","Monolit",68.5,48,,7,"10","Net","","","","",59.970846,30.3192712,
"2016-08-19","gorod Sankt-Peterburg","Василеостровский","Большой пр., 50","Vasileostrovskaya",1000,"4",80000,"11 mes.","","Staryi fond",220,101,50,3,"7","Net","Sbornaya Sovr.","","Evrostandart","Balkon",59.934723,30.2694565,
"2016-11-29","gorod Sankt-Peterburg","Петроградский","Вяземский пер., 6","Petrogradskaya",970,"1",30000,"11 mes.","","Kirpichnyi",36,20,9,1,"7","Net","Garnitur Sovr.","Otdel'naya","Ne trebuetsya","",59.973118,30.299938,
"2017-05-01","gorod Sankt-Peterburg","Центральный","Чехова ул., 7","Mayakovskaya",750,"3",50000,"","","Kirpichnyi",90,61,9,1,"6","Net","Sbor.+kuh.garn.","","","",59.937352,30.3535556,
"2016-05-24","gorod Sankt-Peterburg","Фрунзенский","Турку ул., 22к5","Mejdunarodnaya",1200,"2",27000,"12 mes.","Da","Hrushchevka",,47,32,," kv.m.","","Est'","Est'","Otdel'naya","est'",59.870868,30.4006918,
"2016-02-20","gorod Sankt-Peterburg","Московский","Юрия Гагарина пр. 7","Park Pobedy",1050,"2",50000,"31 mes.","","Monolit",70,39,14,7,"12","Net","","","","",,,
"2017-04-25","gorod Sankt-Peterburg","Московский","Витебский пр., 23к1","Park Pobedy",990,"1",17000,"","","",31,17,6,5,"5","Net","Sbor.+kuh.garn.","","Ne trebuetsya","Balkon",59.863049,30.3568004,
"2016-05-28","gorod Sankt-Peterburg","Калининский","Кондратьевский пр., 70","Lenina pl.",3660,"1 (studiya)",20000,"11 mes.","","Monolit",,35,,,"","","Est'","Est'","","est'",59.983635,30.397869,
"2017-01-12","gorod Sankt-Peterburg","Приморский","Комендантский пр., 28к1","Komendantskii pr.",770,"2",23000,"11 mes.","","Kirpichnyi",50,31,8,7,"17","Est'","Sbor.+kuh.garn.","Otdel'naya","Ne trebuetsya","Lodjiya",60.01401594,30.25050921,
"2017-07-19","gorod Sankt-Peterburg","Калининский","Маршала Блюхера пр., 9к3","Vyborgskaya",3940,"1   (studiya)",19000,"11 mes.","","Monolit",25,18,4,13,"14","Est'","","","","Balkon",59.976264,30.41736,
"2016-03-29","gorod Sankt-Peterburg","Петроградский","Депутатская ул. 26","Krestovskii ostrov",690,"3",160000,"","","",135,88,12,4,"9","Net","Sbornaya Sovr.","","","",,,
"2016-08-15","gorod Sankt-Peterburg","Московский","Космонавтов пр., 27","Moskovskaya",1860,"2",22000,"12 mes.","Da","Stalinskii",50,34,7,5,"5","Net","Sbornaya Sovr.","Otdel'naya","Proizveden","Balkon",59.85915,30.3477576,
"2016-04-08","gorod Sankt-Peterburg","Московский","Московский пр. 73к.5","",,"1",38000,"","","",39,,,10,"11","Net","Net","","","",59.885441,30.3197282,
"2017-05-19","gorod Sankt-Peterburg","Красносельский","Катерников ул., 7","Leninskii pr.",6410,"1   (studiya)",20000,"11 mes.","","Kirp.Monolit",30,24,,9,"20","Est'","","Sovmeshchennaya","Evrostandart","Zasteklennyi balkon",59.85192668,30.15484803,2016
"2017-06-28","gorod Sankt-Peterburg","Василеостровский","Беринга ул., 5","Vasileostrovskaya",830,"1",40000,"11 mes.","","Kirpichnyi",40,20,10,7,"9","Est'","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","Zasteklennyi balkon",59.936525,30.247704,2015
"2017-05-01","gorod Sankt-Peterburg","Петроградский","Барочная ул., 12","Chkalovskaya",1060,"4",130000,"","","Monolit",103,43,19,2,"12","Est'","","","","",59.969957,30.287637,
"2016-06-14","gorod Sankt-Peterburg","Московский","Орджоникидзе ул., 7","Moskovskaya",760,"2",22000,"","","Hrushchevka",45,30,6,5,"5","Est'","","Otdel'naya","","Balkon",59.843651,30.3281706,1963
"2017-07-04","gorod Sankt-Peterburg","Василеостровский","Нахимова ул., 20","Primorskaya",110,"1",32000,"11 mes.","","Kirpichnyi",40,20,12,14,"17","Est'","Sbor.+kuh.garn.","","","Balkon",59.940192,30.223575,
"2017-04-28","gorod Sankt-Peterburg","Невский","Подвойского ул., 26","Dybenko ul.",900,"1",25000,"11 mes.","Da","Kirpichnyi",37,17,9,16,"17","Est'","Sbornaya Sovr.","Sovmeshchennaya","Evrostandart","Zasteklennyi balkon",59.915365,30.4795917,
"2016-05-18","gorod Sankt-Peterburg","Приморский","Комендантский пр., 53к1","Komendantskii pr.",2750,"1",23000,"","","",,42,16,,"1 kv.m.","","Net","Est'","","est'",60.030087,30.234849,
"2017-06-26","gorod Sankt-Peterburg","Петроградский","Крестовский пр., 13","",,"2",175000,"11 mes.","Da","Monolit",114,50,25,10,"16","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Lodjiya",59.969805,30.2619032,2000
"2016-04-07","gorod Sankt-Peterburg","Петроградский","Лизы Чайкиной ул. 22","Gor'kovskaya",800,"4",140000,"","","",134,40,42,2,"5","Net","Sbornaya Sovr.","","","",59.955517,30.3044719,
"2017-05-01","gorod Sankt-Peterburg","Красногвардейский","Энтузиастов пр., 44","Ladojskaya",3470,"3",28000,"11 mes.","","137 seriya",71,45,10,7,"9","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Lodjiya",59.951582,30.4885387,
"2017-03-10","gorod Sankt-Peterburg","Выборгский","Парголово, Федора Абрамова ул., 19","Parnas",1350,"1",13000,"11 mes.","","Kirp.Monolit",38,18,10,24,"26","Est'","","","","Balkon",60.078773,30.344695,
"2016-06-30","gorod Sankt-Peterburg","Красносельский","Адмирала Черокова ул., 20","Veteranov pr.",6290,"1 (studiya)",18000,"11 mes.","","Kirpichnyi",25,,,15,"18","Est'","Sbor.+kuh.garn.","Sovmeshchennaya","Evrostandart","Lodjiya",59.853893,30.139814,
"2016-11-29","gorod Sankt-Peterburg","Невский","Бабушкина ул., 111","Proletarskaya",970,"1",20000,"11 mes.","","Monolit",33,18,7,2,"8","Est'","Garnit+kuh.nab.","Otdel'naya","Proizveden","",59.86447,30.4528936,
"2017-07-23","gorod Sankt-Peterburg","Центральный","Лиговский пр., 166","Obvodnyi Kanal",10,"1",35000,"11 mes.","","Kirpichnyi",46,16,12,6,"6","Est'","Sbor.+kuh.garn.","","","",59.91883,30.3528491,
"2017-05-13","gorod Sankt-Peterburg","Выборгский","Просвещения пр., 76","Grajdanskii pr.",3490,"2",26000,"11 mes.","","Kirpichnyi",46,29,8,10,"12","Est'","Sbor.+kuh.garn.","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",60.047619,30.3606362,
"2016-05-31","gorod Sankt-Peterburg","Центральный","Марата ул., 80","Zvenigorodskaya",440,"5",85000,"","","Kirpichnyi",,179,124,,"2 kv.m.","","Est'","Est'","","est'",59.919658,30.341767,
"2016-11-08","gorod Sankt-Peterburg","Фрунзенский","Малая Бухарестская ул., 6к1","Kupchino",140,"2",28000,"","","",56,30.5,11,6,"12","Net","","","","",59.850319,30.412502,
"2017-05-24","gorod Sankt-Peterburg","Фрунзенский","Будапештская ул., 40","Mejdunarodnaya",180,"2",23000,"11 mes.","","Panel'nyi",47,30,8,3,"5","Net","Sbornaya Sovr.","Otdel'naya","Proizveden","Balkon",59.859628,30.3776506,
"2017-06-29","gorod Sankt-Peterburg","Центральный","Ковенский пер., 5","Mayakovskaya",670,"5",340000,"11 mes.","","Kirp.Monolit",236,181,,5,"5","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","",59.937205,30.3564779,2012
